398333,266956,267487,272860,268361,269920,273158,276103,276690,276704,275926,281781,283500,281553,284063,284469,281235,284863,287672,284938,290516,291667,293017,294246,294650,288138,135602
265136,0,179504,180708,0,181798,182858,0,184617,186821,0,184976,191095,0,186306,186820,0,192589,192083,0,193937,195530,0,194684,193916,14071,82848
271108,182571,180984,181082,181750,182879,182891,183210,183475,184575,186436,186904,189718,189513,189037,187995,190009,191863,192467,191353,192945,193698,193670,194742,195937,194351,91593
272207,181967,183383,0,0,0,184090,184692,186212,183750,185576,185878,0,0,0,189174,189754,189761,191722,193625,192801,0,0,0,199047,195878,91372
268586,0,184893,0,0,0,186051,0,186478,186677,0,188233,0,0,0,190709,0,188399,190907,0,197125,0,0,0,201162,14222,84953
271478,180784,181167,0,0,0,189860,188865,188479,185962,185154,186931,0,0,0,189101,190745,189688,192757,196879,200883,0,0,0,202671,201812,93113
270905,181507,182174,180764,183338,182431,186704,188328,188600,184859,184360,184807,184505,187648,188476,190896,191881,191509,193306,198769,201123,203464,200257,204526,205924,201965,95728
270422,0,182873,183553,0,186217,185263,0,186722,186189,0,182983,188216,0,188405,188493,0,194142,193542,0,199181,200601,0,202107,204372,14635,86543
276278,186623,183977,183179,185081,184598,184216,184084,184378,183711,184586,184779,185892,187229,188195,189978,193715,194879,198200,200259,200657,203113,204840,202964,203432,200487,93806
279541,186705,183350,181470,181520,183115,184093,184007,184729,0,0,0,0,0,0,0,0,0,196760,200499,204319,205580,204274,205250,204487,201697,94912
272699,0,182272,183000,0,182966,182681,0,184866,0,0,0,0,0,0,0,0,0,199916,0,206183,205068,0,205080,206014,14412,87453
274209,182422,180487,182788,185748,182388,182203,183015,181492,0,0,0,0,0,0,0,0,0,205790,207341,208831,206734,206224,204057,203566,203112,94719
270948,179903,181317,0,0,0,183725,182376,182036,0,0,0,0,0,0,0,0,0,207845,206499,209846,0,0,0,207460,201789,94743
273725,0,181542,0,0,0,185875,0,182628,0,0,0,0,0,0,0,0,0,205624,0,205678,0,0,0,212705,14345,87002
275743,184341,185694,0,0,0,186900,187743,186604,0,0,0,0,0,0,0,0,0,205223,206508,206608,0,0,0,209124,203780,95380
279163,186222,186002,183856,186361,187332,185183,188367,188754,0,0,0,0,0,0,0,0,0,211840,209662,209283,208893,206910,208990,209740,202837,95069
279684,0,186906,186945,0,187696,184566,0,192469,0,0,0,0,0,0,0,0,0,215162,0,211844,210487,0,210112,211321,15442,88426
284625,188383,188475,187894,187046,190610,189761,193656,193831,0,0,0,0,0,0,0,0,0,214135,210606,209865,209407,206364,207829,209729,207435,96939
284337,190417,188821,190089,188001,189500,193595,196461,195844,196346,195623,196771,201132,203667,206167,206922,206271,208031,211875,212343,210817,211013,207777,207598,210145,206494,97880
281105,0,190930,192451,0,189981,192386,0,196404,197280,0,199671,202968,0,205187,206381,0,209149,210732,0,211152,210288,0,212373,213800,14835,90403
283027,192980,194403,194748,192269,192443,193639,197670,198090,199982,198447,199851,202044,203400,205175,205817,205859,209169,210986,210167,208958,211528,216313,217829,212137,208277,98120
281377,189193,191048,0,0,0,198836,199521,199644,201000,201586,200776,0,0,0,206927,206775,211484,212947,212081,210264,0,0,0,215835,209006,97889
284089,0,191445,0,0,0,197730,0,201704,201774,0,200647,0,0,0,210127,0,213970,215685,0,213963,0,0,0,218075,15100,89449
291390,197442,195047,0,0,0,199484,201923,203170,203790,203201,201824,0,0,0,209312,212273,215626,212765,212645,212740,0,0,0,218052,212829,99612
294965,199674,198710,199533,202575,202278,203662,205460,204226,202682,204872,203925,205226,208790,208392,211257,213556,213076,212690,214776,214679,216029,220225,219413,220201,215017,100725
285697,13852,195579,196793,14461,198012,200144,15017,200146,199982,14759,203633,202975,15293,205865,209842,14768,210263,210771,15296,213749,212340,15819,215834,216345,30340,95268
136890,83743,91554,92914,86499,92480,95280,88093,95322,95417,86993,95393,96346,89879,98377,97794,89051,97373,97929,91356,99402,100935,92300,101522,101521,93143,44384
