83412,104635,58662,67774,67764,73529,59991,69316,58583,71141,49409,41426,27505,27214,27027,14466,8519,8333,707,0,0,0,628,9442,11812,5885,8435,135,0,1073,6758,10192,11294,24432,24817,28413,45182,39300,14506,18978,5322,14326,10482,4979,16018,1247,0,0,481,10841,17883,24059,31826,8306,41041,69264,74166,89088,82283,87917,125301,69368,43230,57237,40461,22018,8839,9513,30416,27805,35448,25139,27838,64892,103178,94168,49728,72029,101013,86369,81171
95071,0,57388,39879,0,64853,21706,0,24724,29688,0,70934,50909,0,19026,16063,0,15878,6613,0,0,0,0,9800,0,0,4485,4385,0,20679,16950,0,15700,20681,0,28610,42106,0,32778,36523,0,19949,32984,0,9688,3947,0,6736,15495,0,5711,29753,0,5527,29934,0,121315,142853,0,117806,146681,0,84774,110190,0,23218,5061,0,8661,2137,0,12260,4760,0,40640,45777,0,100262,69733,0,81275
46792,69160,80795,75177,48566,23904,10840,8682,31093,14382,15825,16754,9568,30136,17532,9413,25161,15236,26273,11355,0,0,815,4097,2128,11325,853,3560,16226,27332,46867,44106,11794,37245,52151,25280,24116,5647,19273,36680,9572,20510,16639,11530,10231,13324,28119,37137,38551,19417,29046,16622,2271,5562,13613,26681,65424,107341,168023,131602,113695,125054,75374,92742,62720,29795,316,0,0,0,3997,6884,2518,16731,28139,44253,80068,74299,76712,72146,71172
30637,45180,60377,0,0,0,126,7745,11129,1452,8490,9996,0,0,0,23312,12810,9606,9622,2209,0,0,0,0,3240,7696,5414,5202,19246,52175,0,0,0,66811,19004,14529,16729,22752,54469,0,0,0,4590,8156,25053,33546,59873,19919,0,0,0,26805,1920,5568,17584,40078,22749,0,0,0,129499,81158,79658,87324,87649,76434,0,0,0,0,0,5932,3229,28529,15153,0,0,0,38463,27500,32968
19717,0,29609,0,0,0,0,0,14065,408,0,3440,0,0,0,2443,0,6180,8157,0,0,0,0,0,3064,0,9627,19166,0,25261,0,0,0,153332,0,53103,58409,0,68077,0,0,0,17705,0,22690,26642,0,16110,0,0,0,3518,0,11776,0,0,0,0,0,0,230955,0,64296,66794,0,76553,0,0,0,0,0,2499,6864,0,92,0,0,0,11927,0,11813
25108,4905,47768,0,0,0,1030,2334,5821,4765,0,0,0,0,0,19569,10026,13946,7678,0,0,0,0,0,12439,14682,20112,21407,40876,29149,0,0,0,55269,98412,32993,52288,52057,58808,0,0,0,77406,100264,40613,64155,62605,76601,0,0,0,0,0,0,270,6345,4313,0,0,0,141050,52137,63761,73043,96338,52661,0,0,0,0,73,6809,7527,504,0,0,0,0,11352,6382,6133
11657,14407,56369,76766,25062,2332,5331,2923,15392,3226,0,0,1436,13645,23758,28571,11434,0,5256,3380,0,0,0,202,6038,5184,1635,1476,2333,10991,13855,37440,34599,34286,60172,23826,13413,25987,56374,80166,49650,28116,72923,106996,89725,51876,49566,88444,74430,28191,1565,1302,1625,4495,2624,2883,8368,767,9898,33970,66493,74693,97647,68180,88149,49577,38125,19192,1953,0,79,4940,2620,0,0,0,0,122,27728,14293,4367
78,0,16554,21020,0,3529,5448,0,16148,5377,0,9393,4326,0,42748,22725,0,2012,5598,0,0,0,0,0,6396,0,0,0,0,14700,19178,0,50179,19664,0,44909,34767,0,97242,92809,0,74377,84880,0,113464,99323,0,73541,64735,0,15174,10668,0,6504,0,0,9441,4261,0,29973,53767,0,83491,45160,0,16935,31895,0,15698,361,0,4546,0,0,0,0,0,0,1523,0,0
0,2538,6410,30378,11361,798,7217,0,6188,11891,41109,36813,4822,3840,18753,26531,12045,15407,617,0,0,0,0,6263,5329,18075,2158,1023,24408,66265,47911,36777,27576,57184,117613,61532,44388,107784,167747,70727,33002,88551,143643,126470,128462,92293,90528,114562,76741,22865,11873,9838,13315,548,0,398,24544,56288,39631,53412,65236,86248,77355,17606,10853,21812,53312,30321,6563,5053,1381,304,0,0,0,0,0,0,0,0,0
0,0,0,2677,949,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,348,8919,12900,3585,12507,25835,69046,79327,73530,28719,35766,28869,60963,59047,0,0,0,0,0,0,0,0,0,77247,58933,57709,64156,30149,12708,2715,2799,0,5196,17987,70901,74914,77598,66970,43155,67877,172352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
